Time,CH1,CH2,CH3,CH4,Accelerometer
mSecs,mVolts,mVolts,mVolts,mVolts,m/(sec^2)
2.929688,-2.371839965,0.193237884,-2.679871442,2.307699796,-2.72392638
6.835938,-2.369940762,0.270071459,-2.673524738,2.311546283,-2.992638037
10.742188,-2.402515698,0.371690834,-2.67049563,2.317772784,-3.334969325
14.648438,-2.421291362,0.268965594,-2.685472888,2.326427379,-3.187730061
18.554688,-2.407203604,0.258652201,-3.041633531,2.331548015,-3.250306748
22.460938,-2.401986806,0.397005526,-3.107624822,2.346909922,-3.290797546
26.367188,-2.401097306,0.340438128,-3.119885499,2.353569152,-3.273619632
30.273438,-2.400496292,0.269181959,-3.119789336,2.340010286,-3.250306748
34.179688,-2.401145387,0.470785952,-3.096085361,2.412684847,-3.235582822
38.085938,-2.40128963,0.311084625,-3.075867265,2.555461632,-3.110429448
41.015625,-2.403693684,0.348203224,-3.085170955,2.679102144,-2.936196319
44.921875,-2.410352915,0.30156457,-3.088368347,2.745285759,-2.714110429
48.828125,-2.418622862,0.220403698,-3.09070028,2.74668011,-2.672392638
52.734375,-2.4211952,0.282211933,-3.09291201,2.749492854,-2.747239264
56.640625,-2.427061092,0.40650154,-3.088464509,2.754469246,-2.849079755
60.546875,-2.433455877,0.424267502,-3.09115705,2.759445639,-2.912883436
64.453125,-2.437807215,0.303439733,-3.114500417,2.759445639,-2.939877301
68.359375,-2.449779405,0.216917819,-3.114139809,2.760214936,-2.931288344
72.265625,-2.453313365,0.224442509,-3.116664066,2.760214936,-2.904294479
76.171875,-2.452015176,0.399674026,-3.112120403,2.761344841,-2.883435583
80.078125,-2.460501487,0.270672473,-3.120077823,2.759998571,-2.896932515
83.984375,-2.460357244,0.415444622,-3.115798606,2.757233909,-2.890797546
87.890625,-2.460453406,0.372219726,-3.120005701,2.762811315,-3.044171779
91.796875,-2.462617055,0.236727226,-3.141906636,2.766898207,-3.117791411
95.703125,-2.466175055,0.208383426,-3.171115896,2.763556571,-3.17791411
99.609375,-2.467016474,0.364238266,-3.184458397,2.762715152,-3.27607362
103.515625,-2.466607785,0.560072529,-3.16421626,2.761993936,-3.371779141
107.421875,-2.469420529,0.277379784,-3.178087653,2.764518193,-3.419631902
111.328125,-2.46949265,0.192059897,-3.316296734,2.747689813,-3.408588957
115.234375,-2.468891637,0.322840451,-3.283168866,2.747016678,-3.365644172
119.140625,-2.469228204,0.430157435,-3.223043468,2.7515363,-3.309202454
123.046875,-2.468074258,0.341231466,-3.443278882,2.750262151,-3.25398773
126.953125,-2.467112637,0.160566786,-3.417771866,2.738602488,-3.202453988
130.859375,-2.460116839,0.32058064,-3.442942314,2.727255352,-3.157055215
134.765625,-2.45886673,0.330293019,-3.446019504,2.725572514,-3.125153374
138.671875,-2.461559271,0.195954465,-3.433999233,2.738770772,-3.112883436
142.578125,-2.470959123,0.510885578,-3.444432828,2.744492421,-3.127607362
146.484375,-2.466006772,0.361425522,-3.442701909,2.738410164,-3.147239264
150.390625,-2.453097,0.350655359,-3.471815007,2.736126312,-3.159509202
154.296875,-2.455116406,0.324739654,-3.46931479,2.725356149,-3.169325153
157.226563,-2.468170421,0.339668831,-3.399621256,2.706099674,-3.175460123
161.132813,-2.463218069,0.11868816,-3.22044709,2.686915321,-3.169325153
165.039063,-2.459684109,0.161480327,-3.29792976,2.707518066,-3.16809816
168.945313,-2.461775636,0.560841826,-3.180732113,2.68114559,-3.202453988
172.851563,-2.435691647,0.279615555,-3.115606282,2.680905185,-3.212269939
176.757813,-2.457640663,0.246535768,-3.102552267,2.684270861,-3.209815951
180.664063,-2.458962893,0.525910917,-3.084209333,2.654532709,-3.240490798
184.570313,-2.489710747,0.215667711,-3.080314765,2.689752105,-3.272392638
188.476563,-2.459443703,0.092411847,-3.065625993,2.687852902,-3.296932515
192.382813,-2.444346242,0.36532009,-3.082045684,2.648618736,-3.317791411
196.289063,-2.458121474,0.285866096,-3.099547199,2.624962841,-3.314110429
200.195313,-2.454563473,0.217062062,-3.090580077,2.588397176,-3.320245399
204.101563,-2.455068325,0.336880128,-3.079088697,2.671938062,-3.336196319
208.007813,-2.464732623,0.266465378,-3.067861764,2.674630603,-3.342331288
211.914063,-2.439129445,0.01769384,-3.092647564,2.682515901,-3.363190184
215.820313,-2.462617055,0.2417517,-3.095989199,2.692757173,-3.408588957
219.726563,-2.46417969,0.354910535,-3.098777902,2.731077798,-3.463803681
223.632813,-2.468771434,0.238842794,-3.103177321,2.674967171,-3.519018405
227.539063,-2.432590417,0.385201619,-3.102576308,2.615106219,-3.573006135
231.445313,-2.450596784,0.157080907,-3.137579338,2.583300581,-3.609815951
235.351563,-2.482137976,0.077650954,-3.167509814,2.69309374,-3.633128834
239.257813,-2.449683243,0.35558367,-3.045936789,2.554451929,-3.658895706
243.164063,-2.402828225,0.348227264,-3.063294061,2.635588761,-3.61595092
247.070313,-2.499831816,0.145974177,-3.066779939,2.426700484,-3.582822086
250.976563,-2.555798199,0.044378842,-3.027497692,2.24009779,-3.547239264
254.882813,-2.559524484,0.568222273,-3.105509254,2.229111262,-3.483435583
258.789063,-2.46237665,0.296083327,-3.135944581,2.251084318,-3.439263804
262.695313,-2.478003003,0.275817149,-2.871450528,2.253873021,-3.417177914
266.601563,-2.608422948,0.387485471,-2.760623625,2.233270276,-3.408588957
270.507813,-2.64570983,0.068948277,-2.73249619,2.305800594,-3.403680982
